,Country Code,Year,Consumer price index (2010 = 100),GDP per capita (current US$),GDP per capita growth (annual %),"Inflation, consumer prices (annual %)",Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)",CCI
473,NA,2014,116.248,11076.092,1.581,4.019,3.552,4.81,
474,NA,2014,108.567,55123.85,1.54,1.622,3.25,6.17,
475,NA,2015,108.672,43596.136,-0.089,1.125,2.775,6.91,
476,NA,2015,119.411,9753.38,2.095,2.721,3.439,4.31,
477,NA,2015,108.696,56762.729,1.953,0.119,3.26,5.28,
478,NA,2016,110.225,42315.604,-0.136,1.429,2.7,7.0,
479,NA,2016,122.78,8875.062,1.474,2.822,4.754,3.86,
480,NA,2016,110.067,57866.745,0.933,1.262,3.512,4.87,
481,NA,2017,111.985,45129.429,1.811,1.597,2.7,6.34,
482,NA,2017,130.198,9434.386,1.016,6.041,7.332,3.42,
483,NA,2017,112.412,59907.754,1.597,2.13,4.097,4.36,
484,NA,2018,114.525,46548.638,1.336,2.268,,5.83,
485,NA,2018,136.577,9857.029,1.227,4.899,8.04,3.27,
486,NA,2018,115.157,62823.309,2.405,2.443,4.904,3.9,
487,NA,2019,116.757,46328.672,0.427,1.949,,5.66,
488,NA,2019,141.543,10145.17,-1.054,3.636,8.429,3.48,
489,NA,2019,117.244,65120.395,1.83,1.812,5.282,3.67,
490,NA,2020,117.594,43258.264,-6.319,0.717,,9.46,
491,NA,2020,146.35,8655.001,-8.655,3.397,6.342,4.45,
492,NA,2020,118.691,63530.633,-3.698,1.234,3.544,8.05,
493,NA,2021,121.587,51987.939,3.97,3.395,,7.46,
494,NA,2021,154.677,10045.681,4.136,5.689,4.892,4.09,
495,NA,2021,124.266,70248.629,5.82,4.698,3.25,5.35,
496,JPN,2022,,,,,,,97.49004333333333
497,OECD,2022,,,,,,,97.28353777777778
498,USA,2022,,,,,,,96.6694488888889
