Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
OECD members,OED,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.94574935198639,2.15797310981959,4.26372712149085,2.96696086316878,3.44489848222766,4.18722443998003,4.17434761852997,3.57995226730307,4.09389143106837,3.48791924395204,5.73114484293536,6.39534883720931,6.56236090256546,9.14347112874361,15.5485200326028,14.1568726272875,11.6367520558869,11.1820214595703,8.61843219505992,10.1288922753687,13.634450606601,13.6429608127721,11.3409961685824,8.87302152363218,7.6738026224732,6.73469387755101,5.29166170071089,4.7472849038979,5.82489868439442,6.25983137956973,6.72181952228662,5.93421344335925,5.05697932185187,4.59790321006549,3.50262577413398,4.35177861328367,3.00009076251616,2.26900305912497,2.10577481135341,2.17260318876207,3.06380344899536,3.18908268106049,2.47736067910933,2.18428358241518,2.25796409638231,2.4695989874028,2.60015376460352,2.48470438812868,4.11407022033818,1.10457711175389,1.80735230566101,3.37429759432518,2.52945520915773,1.45156526398379,0.624517311086541,0.338705695410171,0.443258965728606,1.82264336059064,1.93246812286361,1.74071267870177,0.732851645175872,2.8152885443583
OECD members,OED,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,2.90199027876632,4.17323823970426,3.9156373877242,5.013016261942,4.08632351923615,4.64089615175997,3.12079948289501,4.82126100253633,4.05351142589019,1.62683873707419,2.37065856563103,4.18759102125976,4.90228210577166,-0.164392785927134,-0.833956633061192,3.84767956283972,2.81341361585747,3.47653596472479,2.92599798266041,0.198347737943493,1.12139737278171,-0.601877901492642,2.10758824540021,3.89471124841604,2.89986815536125,2.28944544688406,2.69917519921788,3.74772659450147,3.01010355457905,2.12374903699141,0.33020081516311,1.21485733859734,0.433344614693283,2.31601962406347,1.82644055864201,2.30235383812212,2.75957377462315,2.22131751647549,2.65882073297452,3.32443200659888,0.63195884252562,0.783629367680774,1.28912841990352,2.51165970581233,2.08193188566233,2.24511433196568,1.82493596346798,-0.36315616613544,-4.03526728310975,2.32195531606096,1.35427062757918,0.759664769694069,0.864914948308709,1.40307997602636,1.76217264009367,1.16001386844447,1.87730604483146,1.78127234600882,1.24258635388837,-4.74765584683045,5.1935268133314
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,1338.59473504978,1388.35534734785,1477.93033514216,1571.37983548114,1694.33250426594,1815.11817750345,1967.62914208208,2087.00094540118,2237.68528123989,2433.39980206847,2622.67229725966,2866.95167970987,3287.29448398086,3927.73262482174,4353.8876087482,4829.57533804245,5186.95130883197,5795.83526763458,6895.73213754925,7888.21689148364,8684.71342660424,8761.83246728112,8557.73070231476,8765.8339918035,9096.80564232729,9507.42095545228,11426.2189477599,13130.2270303367,14683.9652550347,15240.2407130605,17017.7338456799,17834.6421835967,19000.1155259714,19086.7458198522,20308.5438459546,22207.0401842792,22218.3681871911,21710.7557026263,21768.3788354472,22694.5498011634,23026.0977057823,22637.4780933485,23442.8807733102,26030.5475281099,28768.3485356557,30196.5984700289,31620.6430140409,34356.7954034449,36204.7884195546,33635.0329941469,35053.0002915507,37510.4689031111,37238.6273555564,37492.0293932166,38000.9430879342,35599.0800395663,36049.378510069,37403.3878726541,39348.3143589819,39531.6603463651,38326.8576017416,42446.8593225577
OECD members,OED,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.93561479535493,6.5409979876526,7.27043982657396,7.69678592284629,7.80486142430336,7.56615839559849,7.54494421465676,7.24901412091541,7.20706223422937,7.17778377217914,6.76754234001004,6.6333230742962,7.14809936155084,7.26911164629766,7.14425054429621,6.82414835937032,6.11055030629672,5.79000112642086,6.11960613583894,8.27250818430075,8.44592859509927,8.05440562052894,8.03633392482227,7.92654888744875,7.39883418477478,6.85076361112367,6.43847408730989,5.90828247644726,5.47226316266601,5.39239451470074,7.2410502548527,6.26195154125016
OECD members,OED,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.57451152535914,5.36846178480055,6.83544034819732,6.70690556397991,3.8003894530575,6.65599094260619,5.04083205887677,3.98984808881514,5.3394329573935,5.2498209110202,6.92417383485783,6.39534883720931,4.84351713859909,11.608623548922,23.2222458076842,11.7312661498708,9.37403638606229,8.16182689596842,4.20956601068684,3.70185092546274,7.77858176555714,4.91216291820522,2.74104095563138,1.89971971348492,2.26161369193155,2.03227734608485,0.59558679945326,0.12617684169661,0.678557580457528,2.27228962064317,3.07851628695158,3.25143848753312,1.76028306059266,1.24304589707929,0.695458057868992,-0.127899045020497,0.136600358575949,1.74780458692129,0.661974191385979,-0.341296928327639,-0.676578683595068,-0.740055504162799,-0.923494026942322,-0.256541816316057,-0.00857338820302009,-0.282946068764459,0.249355116079115,0.0600394544986581,1.38007886164923,-1.3528367295172,-0.728243207517742,-0.272455616101254,-0.0440645104433029,0.335037912184809,2.75922671353253,0.795279630579775,-0.127258844489691,0.484199796126387,0.989094598021806,0.468776159383912,-0.0249958340276592,-0.233352779398279
Japan,JPN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,11.0440730403403,7.90171442068974,7.37985706283395,10.5207920914166,4.68645001649419,9.63235963058663,9.93883449912613,11.6174281532467,11.1486573220626,1.28181378734011,2.4266523567772,6.90549972226684,6.52302359659433,-2.52983920007762,1.78783564198017,2.86677809806082,3.38468071473208,4.31828011468774,4.59476830698536,2.01041585735973,3.5038862937472,2.56581541921426,2.91186541309219,3.73615647916348,4.50363061497403,2.74561524717127,4.14563058840942,6.21872855329639,4.50717015952465,4.49366120419509,3.11749463315445,0.526745036209022,-0.781376228136594,0.801559685125412,2.39051955805158,2.900141234358,0.740905952598837,-1.53824407565509,-0.515740590055131,2.59289108650813,0.144511690084897,-0.190392013612978,1.31809196241525,2.15172332918605,1.79433980060388,1.30812718300903,1.36742232603785,-1.27210994887062,-5.68145234031182,4.07922304843274,0.209251802819637,1.53678665884595,2.15237106564643,0.429381122520397,1.66846511711745,0.805362824616168,1.75861180161444,0.711770198436739,-0.100125010765368,-4.22555534092724,2.12572223161041
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,475.319075592173,568.907742697122,639.640785435342,724.693762224539,843.616878543607,928.518848597045,1068.55843990563,1239.31837741267,1451.33770268101,1684.65940266378,2056.12204597008,2272.07780221047,2967.0419962342,3974.74560470548,4353.82435516245,4674.44548119394,5197.62233650784,6335.28687066895,8820.69194537469,9103.56475559867,9463.35385519596,10360.1782674787,9575.60771340783,10421.2124356394,10978.9198054992,11576.6921126865,17113.2623242419,20748.9909244528,25059.0074334621,24822.7755670655,25371.4641705246,28915.0082048082,31414.9846370412,35681.9639422506,39933.5150564874,44197.6191013908,39150.0396308089,35638.2319556941,32423.7556133801,36610.1683163197,39169.3595701504,34406.1824638092,32820.7936433254,35387.0374203599,38298.9801712303,37812.8950199948,35991.546002862,35779.0245416427,39876.3039685725,41308.9968370512,44968.1562349739,48760.0789494211,49145.2804308193,40898.6478964744,38475.3952461838,34960.6393843385,39375.4731620781,38834.0529341227,39727.1165995928,40458.0018755824,39918.1675583443,39312.6603730693
Japan,JPN,Lending interest rate (%),FR.INR.LEND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.86355555555556,4.13341666666667,3.50583333333333,2.65758333333333,2.44883333333333,2.32091666666667,2.16083333333333,2.06716666666667,1.96941666666667,1.86491666666667,1.82208333333333,1.76658333333333,1.67691666666667,1.66483333333333,1.88325,1.9095,1.72333333333333,1.59833333333333,1.50091666666667,1.4075,1.30375,1.21916666666667,1.14283333333333,1.04475,0.994,..,..,..,..
